"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 06 01:16:28 CET 2022","Sun Nov 06 01:16:28 CET 2022","158","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Transactions app is present on the Dashboard","Validate the Transactions app is present on the Dashboard",""
"passed","Sun Nov 13 22:12:34 CET 2022","Sun Nov 13 22:12:35 CET 2022","1669","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Create account with valid credentials","Create account with valid credentials",""
"passed","Sun Nov 13 22:14:04 CET 2022","Sun Nov 13 22:14:04 CET 2022","39","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the page header is Business","Validate the page header is Business",""
"passed","Sun Nov 06 01:16:03 CET 2022","Sun Nov 06 01:16:05 CET 2022","2627","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Create account with valid credentials","Create account with valid credentials",""
"passed","Sun Nov 13 22:12:56 CET 2022","Sun Nov 13 22:12:56 CET 2022","41","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Shop app is present on the Dashboard","Validate the Shop app is present on the Dashboard",""
"passed","Sun Nov 06 01:17:40 CET 2022","Sun Nov 06 01:17:41 CET 2022","678","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Transactions app is present on the Dashboard","Validate the Transactions app is present on the Dashboard",""
"passed","Sun Nov 06 01:16:29 CET 2022","Sun Nov 06 01:16:29 CET 2022","103","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Settings app is present on the Dashboard","Validate the Settings app is present on the Dashboard",""
"passed","Sun Nov 06 01:17:41 CET 2022","Sun Nov 06 01:17:41 CET 2022","153","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Connect app is present on the Dashboard","Validate the Connect app is present on the Dashboard",""
"passed","Sun Nov 13 22:12:56 CET 2022","Sun Nov 13 22:12:56 CET 2022","43","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Products app is present on the Dashboard","Validate the Products app is present on the Dashboard",""
"passed","Sun Nov 13 22:12:56 CET 2022","Sun Nov 13 22:12:56 CET 2022","42","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Connect app is present on the Dashboard","Validate the Connect app is present on the Dashboard",""
"passed","Sun Nov 06 01:17:41 CET 2022","Sun Nov 06 01:17:41 CET 2022","126","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Point of Sale app is present on the Dashboard","Validate the Point of Sale app is present on the Dashboard",""
"passed","Sun Nov 06 01:16:29 CET 2022","Sun Nov 06 01:16:29 CET 2022","104","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Products app is present on the Dashboard","Validate the Products app is present on the Dashboard",""
"passed","Sun Nov 13 22:14:05 CET 2022","Sun Nov 13 22:14:05 CET 2022","42","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Connect app is present on the Dashboard","Validate the Connect app is present on the Dashboard",""
"passed","Sun Nov 13 22:14:04 CET 2022","Sun Nov 13 22:14:05 CET 2022","610","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Transactions app is present on the Dashboard","Validate the Transactions app is present on the Dashboard",""
"passed","Sun Nov 13 22:12:56 CET 2022","Sun Nov 13 22:13:07 CET 2022","11805","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Clean and delete the testing account","Clean and delete the testing account",""
"passed","Sun Nov 06 01:17:41 CET 2022","Sun Nov 06 01:17:41 CET 2022","111","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Settings app is present on the Dashboard","Validate the Settings app is present on the Dashboard",""
"passed","Sun Nov 13 22:14:05 CET 2022","Sun Nov 13 22:14:05 CET 2022","41","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Settings app is present on the Dashboard","Validate the Settings app is present on the Dashboard",""
"passed","Sun Nov 13 22:12:30 CET 2022","Sun Nov 13 22:12:34 CET 2022","3266","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Check create account modal is displayed","Check create account modal is displayed",""
"passed","Sun Nov 13 22:13:44 CET 2022","Sun Nov 13 22:13:48 CET 2022","3532","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Check create account modal is displayed","Check create account modal is displayed",""
"passed","Sun Nov 13 22:14:05 CET 2022","Sun Nov 13 22:14:05 CET 2022","45","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Checkout app is present on the Dashboard","Validate the Checkout app is present on the Dashboard",""
"passed","Sun Nov 06 01:15:59 CET 2022","Sun Nov 06 01:16:03 CET 2022","3554","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Check create account modal is displayed","Check create account modal is displayed",""
"passed","Sun Nov 06 01:17:41 CET 2022","Sun Nov 06 01:17:41 CET 2022","134","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Checkout app is present on the Dashboard","Validate the Checkout app is present on the Dashboard",""
"passed","Sun Nov 13 22:12:54 CET 2022","Sun Nov 13 22:12:54 CET 2022","44","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the page header is Business","Validate the page header is Business",""
"passed","Sun Nov 06 01:17:41 CET 2022","Sun Nov 06 01:17:48 CET 2022","7103","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Clean and delete the testing account","Clean and delete the testing account",""
"passed","Sun Nov 06 01:16:28 CET 2022","Sun Nov 06 01:16:28 CET 2022","130","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Checkout app is present on the Dashboard","Validate the Checkout app is present on the Dashboard",""
"passed","Sun Nov 06 01:16:29 CET 2022","Sun Nov 06 01:16:40 CET 2022","11520","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Clean and delete the testing account","Clean and delete the testing account",""
"passed","Sun Nov 13 22:12:54 CET 2022","Sun Nov 13 22:12:55 CET 2022","1069","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Transactions app is present on the Dashboard","Validate the Transactions app is present on the Dashboard",""
"passed","Sun Nov 13 22:14:05 CET 2022","Sun Nov 13 22:14:14 CET 2022","8504","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Clean and delete the testing account","Clean and delete the testing account",""
"passed","Sun Nov 13 22:12:55 CET 2022","Sun Nov 13 22:12:56 CET 2022","48","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Checkout app is present on the Dashboard","Validate the Checkout app is present on the Dashboard",""
"passed","Sun Nov 06 01:16:28 CET 2022","Sun Nov 06 01:16:29 CET 2022","126","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Connect app is present on the Dashboard","Validate the Connect app is present on the Dashboard",""
"passed","Sun Nov 13 22:13:48 CET 2022","Sun Nov 13 22:13:50 CET 2022","1732","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Create account with valid credentials","Create account with valid credentials",""
"passed","Sun Nov 06 01:17:17 CET 2022","Sun Nov 06 01:17:19 CET 2022","2661","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Create account with valid credentials","Create account with valid credentials",""
"passed","Sun Nov 06 01:17:13 CET 2022","Sun Nov 06 01:17:17 CET 2022","3257","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Check create account modal is displayed","Check create account modal is displayed",""
"passed","Sun Nov 06 01:17:19 CET 2022","Sun Nov 06 01:17:40 CET 2022","20468","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Fill out the business information","Fill out the business information",""
"passed","Sun Nov 06 01:16:28 CET 2022","Sun Nov 06 01:16:28 CET 2022","438","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the page header is Business","Validate the page header is Business",""
"passed","Sun Nov 13 22:13:50 CET 2022","Sun Nov 13 22:14:04 CET 2022","14650","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Fill out the business information","Fill out the business information",""
"passed","Sun Nov 13 22:12:56 CET 2022","Sun Nov 13 22:12:56 CET 2022","44","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Settings app is present on the Dashboard","Validate the Settings app is present on the Dashboard",""
"passed","Sun Nov 06 01:16:29 CET 2022","Sun Nov 06 01:16:29 CET 2022","107","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Shop app is present on the Dashboard","Validate the Shop app is present on the Dashboard",""
"passed","Sun Nov 13 22:14:05 CET 2022","Sun Nov 13 22:14:05 CET 2022","44","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Point of Sale app is present on the Dashboard","Validate the Point of Sale app is present on the Dashboard",""
"passed","Sun Nov 06 01:17:40 CET 2022","Sun Nov 06 01:17:40 CET 2022","135","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the page header is Business","Validate the page header is Business",""
"passed","Sun Nov 06 01:16:05 CET 2022","Sun Nov 06 01:16:28 CET 2022","22414","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Fill out the business information","Fill out the business information",""
"passed","Sun Nov 13 22:12:35 CET 2022","Sun Nov 13 22:12:54 CET 2022","19045","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Fill out the business information","Fill out the business information",""
