"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 13 21:49:05 UTC 2022","Sun Nov 13 21:49:11 UTC 2022","5679","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Check create account modal is displayed","Check create account modal is displayed",""
"passed","Sun Nov 13 21:49:05 UTC 2022","Sun Nov 13 21:49:11 UTC 2022","5904","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Check create account modal is displayed","Check create account modal is displayed",""
"broken","Sun Nov 13 21:54:39 UTC 2022","Sun Nov 13 21:55:49 UTC 2022","70002","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Settings app is present on the Dashboard","Validate the Settings app is present on the Dashboard",""
"broken","Sun Nov 13 21:53:53 UTC 2022","Sun Nov 13 21:55:03 UTC 2022","70002","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Connect app is present on the Dashboard","Validate the Connect app is present on the Dashboard",""
"broken","Sun Nov 13 21:52:43 UTC 2022","Sun Nov 13 21:53:53 UTC 2022","70001","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Checkout app is present on the Dashboard","Validate the Checkout app is present on the Dashboard",""
"passed","Sun Nov 13 21:49:59 UTC 2022","Sun Nov 13 21:49:59 UTC 2022","75","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the page header is Business","Validate the page header is Business",""
"broken","Sun Nov 13 21:58:33 UTC 2022","Sun Nov 13 21:59:43 UTC 2022","70002","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Clean and delete the testing account","Clean and delete the testing account",""
"broken","Sun Nov 13 21:52:19 UTC 2022","Sun Nov 13 21:53:29 UTC 2022","70002","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Connect app is present on the Dashboard","Validate the Connect app is present on the Dashboard",""
"passed","Sun Nov 13 21:55:49 UTC 2022","Sun Nov 13 21:56:07 UTC 2022","17823","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Clean and delete the testing account","Clean and delete the testing account",""
"broken","Sun Nov 13 21:49:13 UTC 2022","Sun Nov 13 21:50:23 UTC 2022","70004","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Fill out the business information","Fill out the business information",""
"broken","Sun Nov 13 21:50:23 UTC 2022","Sun Nov 13 21:51:33 UTC 2022","70003","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the page header is Business","Validate the page header is Business",""
"broken","Sun Nov 13 21:49:59 UTC 2022","Sun Nov 13 21:51:09 UTC 2022","70003","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Validate the Transactions app is present on the Dashboard","Validate the Transactions app is present on the Dashboard",""
"broken","Sun Nov 13 21:49:11 UTC 2022","Sun Nov 13 21:49:13 UTC 2022","1579","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Create account with valid credentials","Create account with valid credentials",""
"broken","Sun Nov 13 21:57:23 UTC 2022","Sun Nov 13 21:58:33 UTC 2022","70001","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","","Should open https://commerceos.staging.devpayever.com/registration/fashion and","Validate the Settings app is present on the Dashboard","Validate the Settings app is present on the Dashboard",""
"passed","Sun Nov 13 21:49:11 UTC 2022","Sun Nov 13 21:49:13 UTC 2022","2089","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Create account with valid credentials","Create account with valid credentials",""
"passed","Sun Nov 13 21:49:13 UTC 2022","Sun Nov 13 21:49:59 UTC 2022","45885","","Should open https://commerceos.staging.devpayever.com/registration/santander and","","Should open https://commerceos.staging.devpayever.com/registration/santander and","Fill out the business information","Fill out the business information",""
